2970906;Pointe de Vallières;Pointe de Vallieres;"Pointe De Valliere,Pointe de Vallieres,Pointe de Vallières";45.60046;-1.01278;T;PT;FR;;B7;;;;0;;15;Europe/Paris;2012-01-18
2970926;Comarca del Vallespir;Comarca del Vallespir;;42.47577;2.63809;A;ADMD;FR;;A9;66;;;0;;436;Europe/Paris;2008-03-21
2970964;Ruisseau le Vallat;Ruisseau le Vallat;"Grand Vallet,Le Vallat Ruisseau,Ruisseau le Vallat";43.13333;5.76667;H;STM;FR;FR;B8;;;;0;;16;Europe/Paris;2012-01-18
2970967;Passo di Vallanta;Passo di Vallanta;"Col de Vallante,Col de Vallon";44.67943;7.06996;T;PASS;FR;"IT,FR";00;;;;0;2811;2831;Europe/Paris;2008-07-16
2970986;Golfe de Valinco;Golfe de Valinco;;41.67734;8.84178;H;GULF;FR;;00;;;;0;;-9999;Europe/Paris;2011-08-08
2971044;Valencendre;Valencendre;;50.48447;1.69607;P;PPL;FR;;B4;;;;0;;4;Europe/Paris;1994-01-06
2971107;Valcebollère;Valcebollere;"Valcebollere,Valcebollère";42.38648;2.03358;P;PPL;FR;;A9;66;663;66220;54;;1511;Europe/Paris;2012-01-18
2971243;Rocher de la Vacca;Rocher de la Vacca;"Danger de la Vacca,Ile de la Vacca,Rocher de la Vacca,Île de la Vacca";41.55614;9.38736;T;RK;FR;;00;;;;0;;-9999;Europe/Paris;2012-01-18
2971349;Puerto de Uret;Puerto de Uret;"Port d'Urets,Puerto de Uret";42.78333;0.93333;T;PASS;FR;ES;00;;;;0;;2522;Europe/Paris;2014-03-07
2971367;Urbanya;Urbanya;Urbanya;42.63766;2.30333;P;PPL;FR;;A9;66;663;66219;31;;894;Europe/Paris;2012-01-18
2971371;Ur;Ur;Ur;42.46076;1.93619;P;PPL;FR;;A9;66;663;66218;337;;1214;Europe/Paris;2012-01-18
2971437;Tusson;Tusson;"Le Tusson Riviere,Le Tusson Rivière,Tusson";47.7874;0.72138;H;STM;FR;;B5;;;;0;;64;Europe/Paris;2012-01-18
2971440;Punta alli Tuselli;Punta alli Tuselli;"Pointe Tuselli,Pointe d'Arone,Punta alli Tuselli";42.20534;8.56719;T;PT;FR;;00;;;;0;;2;Europe/Paris;2012-01-18
2971475;Pico de Tuca Roya;Pico de Tuca Roya;"Pic Tuquerouye,Pico de Tuca Roya";42.7;0.03333;T;PK;FR;ES;00;;;;0;;2650;Europe/Paris;2014-03-07
2971502;Tude;Tude;"La Tude Riviere,La Tude Rivière,Tude";45.2;0.01667;H;STM;FR;FR;B7;;;;0;;50;Europe/Paris;2012-01-18
2971523;Étang des Truites;Etang des Truites;;48.10296;7.07691;H;LK;FR;;B2;;;;0;;1070;Europe/Paris;2007-07-03
2971552;Treuz Yar;Treuz Yar;"Treuz Yar,Trouzyard";48.05;-4.91667;H;RF;FR;FR;A2;;;;0;;-9999;Europe/Paris;2012-01-18
2971561;Rade des Trousses;Rade des Trousses;;45.96667;-1.2;H;RDST;FR;;B7;;;;0;;-9999;Europe/Paris;1994-01-06
2971563;Pointe de Troupetet;Pointe de Troupetet;"Pointe de Troupetet,Pointe de Trouquetet";48.61458;-2.81492;T;PT;FR;;A2;;;;0;;8;Europe/Paris;2012-01-18
2971568;Trouillas;Trouillas;Trouillas;42.61089;2.80821;P;PPL;FR;;A9;66;662;66217;1552;;99;Europe/Paris;2012-01-18
2971577;Ruisseau de Trottebec;Ruisseau de Trottebec;"Le Trottebac Riviere,Le Trottebac Rivière,Ruisseau de Trotebec,Ruisseau de Trottebec";49.65;-1.61667;H;STM;FR;FR;99;;;;0;;2;Europe/Paris;2012-01-18
2971600;Alto de la Trona;Alto de la Trona;"Alto de la Trona,Hauteur de la Trona";42.75;0.66667;T;PK;FR;ES;00;;;;0;;2058;Europe/Paris;2014-03-07
2971606;Trolouch;Trolouch;;48.63333;-4.51667;P;PPL;FR;;A2;;;;0;;15;Europe/Paris;1994-01-06
2971614;Roc dels Tres Termes;Roc dels Tres Termes;;42.4745;2.93223;T;PK;FR;"FR,ES";A9;66;;;0;1128;1112;Europe/Paris;2008-04-05
2971620;Trois-Moulins;Trois-Moulins;;48.55;7.68333;P;PPL;FR;;A8;;;;0;;145;Europe/Paris;1994-01-06
2971640;Troborn;Troborn;;48.65;-3.9;P;PPL;FR;;A2;;;;0;;18;Europe/Paris;1994-01-06
2971652;Île Tristan;Ile Tristan;;48.1017;-4.33771;T;ISL;FR;;A2;;;;0;;23;Europe/Paris;2008-01-01
2971660;Triouzoune;Triouzoune;"La Triouzoune Riviere,La Triouzoune Rivière,Triouxoune,Triouzoune";45.31667;2.3;H;STM;FR;FR;B1;;;;0;;437;Europe/Paris;2012-01-18
2971674;Trilla;Trilla;Trilla;42.7391;2.51922;P;PPL;FR;;A9;66;663;66216;58;;426;Europe/Paris;2012-01-18
2971684;Trieux;Trieux;"Le Trieux Riviere,Le Trieux Rivière,Riviere de Pontrieux,Rivière de Pontrieux,Trieux";48.81783;-3.08098;H;STM;FR;;A2;;;;0;;3;Europe/Paris;2011-10-21
2971690;Île de Trielen;Ile de Trielen;"Ile Trielen,Île Triélen";48.37193;-4.94067;T;ISL;FR;FR;A2;;;;0;;4;Europe/Paris;2007-08-02
2971705;Plateau des Triagoz;Plateau des Triagoz;"Les Triagoz,Plateau des Triagoz";48.87172;-3.64588;H;RF;FR;FR;A2;;;;0;;-9999;Europe/Paris;2014-03-15
2971724;Îles Trévors;Iles Trevors;"Iles Trevors,Plateau de Trevors,Plateau de Trévors,Îles Trévors";48.58333;-4.63333;T;RKS;FR;FR;A2;;;;0;;-9999;Europe/Paris;2012-01-18
2971730;Trévillach;Trevillach;"Trevillach,Trévillach";42.70847;2.53008;P;PPL;FR;;A9;66;663;66215;82;;533;Europe/Paris;2012-01-18
2971731;Pointe de Trévignon;Pointe de Trevignon;;47.78333;-3.85;T;PT;FR;;A2;;;;0;;-9999;Europe/Paris;1994-01-06
